

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  MIN  AVG  FGM-FGA   PCT  3PM-3PA   PCT   FTM-FTA   PCT
Corie Blount     33   5  11   0   1   3   4  10   4   6   9   3   4  5   2   2
Mark Blount      42  11  13   0   0   7   9  29   4   7  10   1   3  4   2   1
Keith Bogans     41   4  13   1   7   0   2   9   2   5   6   1   1  2   0   0
Muggsy Bogues    41   6  11   0   2   6   6  13   2   4   5  10   3  2   3   1
E. Bohannon      11   0   0   0   0   3   4   3   1   4   5   1   1  1   0   1
Melvin Booker    19   3   6   0   2   2   3   8   0   3   3   3   2  2   0   1
Calvin Booth     29   6  10   0   1  12  12  24   4   5   6   5   2  3   1   2
Keith Booth      10   0   1   0   0   0   0   0   0   0   0   1   1  3   0   0
Carlos Boozer    36  10  17   0   0   7   9  24   7  13  20   2   1  3   1   0
Larazo Borrell   23   6  10   0   1   3   5  15   2   4   6   0   0  0   1   1
Chris Bosh       43   4   9   0   1   6   6  14   2   7   9   3   2  1   2   2
R. Boumtje_Boumtje  1   0   0   0   0   0   0   0   0   1   1   0   0  0   0   0
Cal Bowdler      16   2   5   0   0   0   0   4   1   3   4   1   0  3   1   0
Bruce Bowen      47   7  13   2   5   6   6  16   1   6   6   7   4  4   4   2
Ryan Bowen       33   6  10   0   0   6   7  18   6   2   8   2   4  6   2   3
Anthony Bowie     9   2   5   1   1   1   2   5   0   1   1   1   1  3   0   0
Ira Bowman        3   1   1   0   0   0   0   2   0   0   0   0   0  1   1   0
Donnie Boyce      5   1   2   0   0   1   4   3   1   0   1   0   0  0   1   0
Earl Boykins     33   7  13   4   5   5   6  23   1   3   3   7   3  3   2   1
Michael Bradley  19   4   9   0   1   0   0   8   4   5   8   1   1  4   0   0
Shawn Bradley    41  13  23   0   0   6  11  32   5  10  15   4   4  4   1  10
Mark Bradtke     12   2   4   0   0   1   2   5   1   0   1   0   0  1   0   0
Marques Bragg     9   1   2   0   0   0   0   2   2   1   3   0   0  2   0   1
Torraye Braggs    9   1   1   0   0   0   0   2   0   2   2   0   1  2   0   0
Elton Brand      44  10  18   0   0   9  11  23   7  14  20   6   5  6   2   3
Terrell Brandon  44  11  18   2   7   7   7  27   3   6   9  14   6  5   3   3
Tim Breaux       19   3   9   1   4   1   2   7   1   2   3   1   3  4   0   1
J.R. Bremer       9   0   2   0   1   0   1   0   1   0   1   2   1  1   0   0
Primoz Brezec     7   1   3   0   0   1   2   3   0   0   0   0   0  0   0   1
F. Brickowski    14   5   6   1   2   1   2  11   1   3   4   0   1  2   0   0
Scott Brooks     22   1   2   0   1   1   1   3   1   2   3   3   2  1   1   0
Chucky Brown     33   8  16   0   1   7   7  17   3   7   9   2   2  3   1   1
Damone Brown      3   0   1   0   0   0   0   0   0   0   0   0   0  1   0   0
Dee Brown        34  12  15   8  10   5   6  32   0   4   4   3   2  5   3   1
Devin Brown      15   3   7   1   1   5   6   8   1   6   6   1   1  4   2   0
Gerald Brown      9   0   2   0   0   0   0   0   0   1   1   1   0  0   0   0
Kedrick Brown    19   2   5   0   2   0   0   4   0   7   7   1   0  1   1   0
Kwame Brown      31   4   7   1   2   3   4  10   3   4   7   4   3  4   2   2
P.J. Brown       41  10  17   0   1   7   8  25   6   9  13   3   3  5   3   3
Randy Brown      36   6  11   0   1   2   2  12   1   3   4   6   3  5   1   2
Tierre Brown      3   1   1   0   0   0   0   2   0   0   0   0   1  1   0   0
Rick Brunson     16   2   3   1   1   2   2   6   0   3   3   5   1  2   2   0
Kobe Bryant      46  15  28   3   7  12  12  38   8   9  14  11   6  6   3   2
Mark Bryant      35  12  18   0   0   6   9  30   6   7  12   4   3  6   2   1
Greg Buckner     35   7  11   0   1   0   0  14   2   5   7   1   2  4   3   1
Jud Buechler     33   5   9   3   5   2   2  12   3   5   7   2   1  4   2   1
Rodney Buford    44   6  18   2   4   3   4  15   2   5   6   3   1  4   2   1
Matt Bullard     29   5   9   5   8   2   2  15   2   5   5   3   3  5   2   0
Pat Burke        14   3   4   0   0   0   0   6   0   0   0   0   1  0   0   0
Scott Burrell    29   3   8   2   4   2   2   8   3   7   7   1   2  3   2   1
Junior Burrough   3   0   0   0   0   1   2   1   1   0   1   0   0  1   0   0
Willie Burton    22   5   7   4   4   3   4  17   0   2   2   0   0  2   0   0
Caron Butler     39   7  15   1   1   5   5  16   4   6   9   8   5  6   2   0
Mitchell Butler  16   4   5   0   2   1   2   8   3   2   3   1   1  3   1   1
Rasual Butler    39   9  17   2   3   2   2  20   1   4   5   2   1  1   1   3
Zarko Cabarkapa  29   6  11   1   4   6   6  17   1   8   9   3   2  2   1   2
Jason Caffey     34   8  15   0   0   5   8  16   7   7   9   5   4  6   2   1
Michael Cage     42   7   9   0   0   1   3  15   4  10  11   1   1  2   2   2
Adrian Caldwell  17   1   5   0   0   1   2   3   2   4   6   0   2  3   0   0
Marcus Camby     46   9  16   0   1   8   9  26   6  13  19   6   3  5   3   5
Elden Campbell   39   9  20   0   0  13  14  25   5  10  12   9   4  6   3   5
Brian Cardinal   32   7  12   3   4   4   4  18   3   6   8   2   3  4   1   1
Antoine Carr     24   5   9   0   1   4   4  14   3   5   7   3   3  5   0   3
Chris Carr       34   7  17   2   4   4   4  20   3   5   6   2   2  6   2   1
Cory Carr        37   7  16   0   1   4   4  18   0   2   2   4   0  4   0   0
Matt Carroll     14   3   5   1   1   0   0   7   0   2   2   0   0  0   0   0
Anthony Carter   28   3   9   0   2   3   4   6   1   6   6  12   4  3   1   1
Vince Carter     43  11  26   2   7  12  16  33   4   5   8   8   4  6   3   2
Sam Cassell      43  14  20   4   7   8  11  34   2   7   9  18   7  6   6   2
Kelvin Cato      34   7  14   0   0   4   6  18   7  12  15   3   2  4   2   3
Duane Causwell   21   4   8   0   0   2   2   8   2   4   6   1   1  3   2   3
Cedric Ceballos  39  13  21   3   6   9  11  31   6  10  14   4   4  4   2   2
John Celestand   24   3   7   2   2   0   0   8   0   0   0   3   2  4   0   0
Tyson Chandler   25   7  10   0   0   3   6  17   2   5   7   3   6  5   0   1
Rex Chapman      42   8  17   3   8   6   7  19   3   4   6   9   6  3   3   1
Calbert Cheaney  45   9  17   1   2   4   6  22   3   8  10   6   3  5   3   2
Pete Chilcutt    25   5   8   2   2   2   2  13   5   6  11   2   2  2   2   1
R. Childress      5   0   2   0   2   0   0   0   1   2   2   1   1  0   0   0
Chris Childs     34   7  11   2   5   5   6  16   1   4   5   6   4  4   2   0
Doug Christie    46  11  21   4   7   7   8  27   3   9  10  12   5  6   6   3
Keon Clark       37   8  16   0   1   6  10  20   7  11  15   3   4  5   2   3
Speedy Claxton   43   7  15   0   1   6   9  20   1   4   4   9   3  4   3   1
Mateen Cleaves   23   3   6   0   0   2   2   6   1   1   2   6   3  5   1   1
Keith Closs      21   4   7   0   0   4   7  12   3   4   7   2   1  3   1   3
Derrick Coleman  42  10  17   2   4   8  12  25   7  15  18   6   5  5   3   8
Bimbo Coles      39   6  17   2   5   3   3  14   2   7   8   7   6  5   4   2
Jason Collier    30   2   7   0   0   3   4   7   2   7   9   1   2  1   2   1
James Collins     3   0   2   0   1   0   0   0   1   1   2   0   2  0   0   0
Jarron Collins   32   3   4   0   0   3   4   8   3   4   6   1   2  5   1   1
Jason Collins    34   4   7   0   0   3   6  11   4   7  10   5   3  3   1   1
Marty Conlon     29   4  11   0   1   0   0   8   1   6   7   1   4  2   1   0
Brian Cook       20   1   3   0   0   2   2   4   0   4   4   0   0  3   0   0
Tyrone Corbin    35   7   9   3   5   2   3  17   2   8   9   5   3  5   3   1
Joe Courtney      7   0   1   0   0   0   0   0   0   1   1   0   0  0   0   1
Chris Crawford   16   4   8   0   1   4   4   9   2   3   4   3   3  2   1   1
Jamal Crawford   32   7  16   3   7   1   1  16   1   4   4   8   4  4   3   1
Joe Crispin       5   1   3   1   2   0   0   3   0   1   1   0   1  0   0   0
Austin Croshere  37  12  18   4   5   4   4  32   5   9  13   2   5  5   1   1
John Crotty      31   5   9   1   3   6   6  11   3   2   5   7   2  2   1   1
Terry Cummings   26   6  11   0   0   4   6  14   7   7  14   3   4  4   3   2
V. Cummings      43   7  18   2   5   9  11  22   1   5   6  10   4  5   2   1
Bill Curley      18   2   5   0   0   2   2   4   1   2   3   0   1  4   3   0
Dell Curry       34   9  16   4   6   3   5  23   2   4   6   4   2  3   3   1
Eddy Curry       27   6  15   0   0   1   2  12   6   4  10   1   3  5   0   1
Michael Curry    29   6   8   1   2   4   6  14   1   4   4   3   3  5   1   1
R. Cvetkovic      2   0   0   0   0   0   0   0   1   0   1   0   0  1   0   0
S. Dalembert     54  10  17   0   0   4   7  24   4  12  16   0   2  4   0   4
Erick Dampier    45   7  15   0   0   6   7  18   8  10  17   3   5  6   2   3
Anthony Daniels  33   5  12   1   2   2   3  13   0   3   3   4   1  2   2   0
Antonio Daniels  35   8  14   3   5   3   5  21   1   6   6   6   4  3   1   1
Sasha Danilovic  41   4  13   2   6   3   3  10   1   2   2   4   4  4   1   0
Yinka Dare       12   1   2   0   0   2   2   3   2   1   2   0   0  1   0   0
Kornel David     32   7  10   0   0   3   3  17   2   5   7   2   3  5   1   0
Antonio Davis    45   7  16   0   0   8  10  20   7  12  15   3   4  5   2   4
Baron Davis      44  11  17   3   7   7   8  25   3   4   7  10   4  5   3   3
Ben Davis        10   0   0   0   0   2   2   2   1   1   2   0   0  1   1   0
Dale Davis       41   7  14   0   0   4   7  16   7  10  13   3   4  4   3   4
Emanual Davis    28   6  11   3   6   1   1  15   0   4   4   3   3  2   3   1
Hubert Davis     33   7  11   3   5   1   1  15   1   2   2   6   3  3   3   0
Josh Davis        9   2   3   0   1   1   1   5   1   1   2   0   1  1   0   0
Mark Davis       24   2   9   1   5   2   2   6   4   5   8   2   3  4   1   1
Ricky Davis      39   9  23   2   7   6   7  19   2   8  10   5   6  4   2   0
Terry Davis      26   1   2   0   0   2   4   4   5   5  10   0   1  3   0   2
Todd Day         32   6  17   5   8  10  12  18   2   4   5   4   4  4   3   3
Andrew DeClercq  34   8  12   0   0   3   4  17   5  10  15   3   2  5   3   3
Terry Dehere     28   5  10   3   4   4   5  14   2   3   3   3   4  4   2   1
Vinny Del_Negro  44   7  15   3   5   6   6  21   1  10  10   7   5  4   2   1
Bison Dele       21   5  17   0   0   3   4  13   6   3   9   2   0  4   1   1
Tony Delk        41   9  20   5  11   5   6  25   3   5   6   7   3  4   3   1
Dell Demps        2   1   1   0   0   2   2   4   0   0   0   0   0  0   0   0
Derrick Dial     24   2  10   1   2   0   0   5   4   2   6   2   3  4   0   0
Boris Diaw       40   7  10   1   1   3   4  15   4   5   7   4   3  5   3   0
Dan Dickau       32   4  11   1   5   4   4  10   1   2   2  10   3  2   2   0
Kaniel Dickens    6   1   1   0   0   0   0   2   0   0   0   0   0  1   0   0
M. Dickerson     41   8  18   4   6   6   8  21   4   3   6   3   3  5   3   3
DeSagana Diop    14   1   3   0   0   0   2   2   3   2   5   0   2  1   1   1
Vlade Divac      47  10  18   1   3   9  12  28  12  15  18   7   5  6   5   4
Juan Dixon       28   7  16   2  10   3   4  16   1   3   3   2   1  4   1   0
Michael Doleac   27   7  15   0   0   3   3  17   3   5   7   1   3  3   2   1
Keyon Dooling    27   6  11   2   7   8   8  15   1   2   2   6   2  5   1   1
Sherman Douglas  37   7  12   3   4   7   8  17   1   4   5  11   3  3   3   1
Bryce Drew       37   5  18   4   7   4   6  15   0   3   3   5   4  4   1   1
Clyde Drexler    48  11  23   3   9   5   8  27   4  11  14  12   5  5   2   3
P. Drobnjak      36   8  13   2   5   6   8  19   5   7   9   2   3  4   1   1
Kevin Duckworth  27   3   6   0   0   3   4   9   4   2   6   6   2  3   1   0
Chris Dudley     30   2   7   0   0   3   8   6   5   9  12   2   2  4   2   3
Joe Dumars       43   7  13   3   9   3   4  18   1   4   4   8   3  3   2   0
Richard Dumas    16   1   4   0   0   1   1   3   1   0   1   1   1  0   3   0
Tony Dumas        4   0   1   0   0   0   0   0   0   0   0   0   0  0   0   0
Tim Duncan       50  19  28   1   1  15  24  53   5  14  18   7   7  6   3   6
Mike Dunleavy    38   6  18   3  10   4   5  17   1   7   7   5   2  6   3   1
Ronald Dupree    19   3  10   0   0   1   2   7   2   3   5   3   3  4   0   0
Ledell Eackles   29   4   8   2   3   3   3  13   0   3   3   0   1  3   1   0
Tyus Edney       33   6  10   1   3  10  12  23   2   5   7   7   5  4   3   0
Blue Edwards     49   6  15   1   3   4   4  15   3  10  13  11   4  5   2   4
Doug Edwards     10   1   1   0   0   0   0   2   1   1   2   2   1  2   0   0
Kevin Edwards    34   6  11   1   3   4   4  17   1   4   5   3   4  4   2   1
Craig Ehlo       27   3   6   1   3   1   2   7   4   6  10   3   1  4   2   0
Howard Eisley    34   6  12   2   5   6   8  14   1   5   5  10   5  4   2   2
Obinna Ekezie    23   3   9   0   0   2   2   8   3   5   8   0   2  2   0   0
Khalid El-Amin   28   8  14   2   3   0   0  18   1   3   4   7   1  3   1   1
Mario Elie       41   6  11   3   7   8   8  14   3   7   7  10   4  4   3   2
Sean Elliott     43  10  22   3   7   8  10  27   3   7   8   8   5  5   2   1
Dale Ellis       48  12  18   6   9   3   4  30   2   7   9   9   3  4   2   0
Harold Ellis     26   6   7   0   0   0   5  12   3   3   6   2   1  4   0   0
LaPhonso Ellis   41  11  19   2   7  11  16  28   6  10  14   6   6  6   3   3
LaRon Ellis       4   1   1   0   0   2   2   4   1   0   1   0   0  0   0   0
Pervis Ellison   23   3   4   0   0   4   4   8   2   5   7   2   1  2   0   1
Francisco Elson  27   4   9   0   0   3   4  10   4   5   8   0   3  3   1   1
Melvin Ely       15   2   3   0   0   0   0   4   2   1   2   2   0  0   1   0
Evan Eschmeyer   20   5   9   0   0   1   3  11   3   5   8   1   1  3   1   1
V. Esposito       1   1   1   0   0   0   0   2   0   0   0   0   0  0   0   0
Brian Evans      25   6  10   3   4   1   2  16   1   5   6   4   2  3   1   0
Reggie Evans     31   5   7   0   0   4   8  13   4   7  11   1   2  4   1   0
Patrick Ewing    42  16  30   0   0   6   7  36   5  13  15   3   4  6   3   7
Tony Farmer      16   3   5   0   1   4   4   9   2   5   7   1   2  2   1   0
Jamie Feick      38   2   8   0   0   2   2   6   4   8  12   3   1  2   0   1
Duane Ferrell    28   4   6   0   1   2   2  10   2   5   6   2   3  4   1   1
Danny Ferry      42   8  19   6   7   3   3  24   3   7   9   2   5  6   3   1
Michael Finley   53  11  18   2   3   7   8  27   3   7  10  10   5  3   3   1
Matt Fish        17   1   4   0   0   2   2   4   1   2   3   1   0  1   1   1
Derek Fisher     47   8  14   4   9   6   6  21   3   7   8  10   4  4   3   1
Marcus Fizer     37   4  10   0   1   3   4  11   4   6   9   2   4  5   0   0
Vern Fleming     35   5  10   0   0   1   2  10   3   3   5   7   4  3   1   0
Alton Ford        7   2   4   0   0   0   0   4   2   2   4   1   0  0   0   0
Sherrell Ford     4   2   2   0   0   0   0   4   0   0   0   1   0  1   0   0
T.J. Ford        21   3   5   0   0   4   4   6   1   5   5  11   1  3   2   1
Joseph Forte      9   1   5   0   1   0   0   2   0   0   0   2   0  1   2   0
Danny Fortson    40   8  19   0   0   8  10  24   8  16  24   3   4  6   2   2
Greg Foster      32   4   7   0   0   3   3  10   3   6   7   2   3  4   1   1
Jeff Foster      33   5  11   0   2   2   5  12   5  10  13   4   4  6   3   1
Antonis Fotsis    5   0   4   0   1   0   0   0   3   1   4   0   0  2   0   1
T. Fowlkes       13   2   5   0   0   3   4   7   3   3   4   1   1  4   3   0
Rick Fox         39   9  17   4   8   6   6  22   4  10  12   8   5  6   4   3
Adonal Foyle     32   4   7   0   0   3   8  10   5   8   9   3   4  6   1   7
Richie Frahm     20   6  10   2   6   0   0  14   1   2   3   2   1  3   0   0
Steve Francis    48  13  23   3   8  14  16  36   5  11  11  11   7  6   5   2
Todd Fuller      19   1   6   0   0   3   4   3   2   4   6   0   5  2   1   1
L. Funderburke   25   7  10   0   0   6   6  18   3   7  10   2   2  3   2   1
Dan Gadzuric     24   6  10   0   0   2   4  14   6   6  12   0   1  5   1   5
Reece Gaines      6   0   0   0   0   2   2   2   0   0   0   0   0  0   0   0
Kevin Gamble     21   4   8   3   5   0   0  11   1   1   2   3   1  3   1   0
Ruben Garces      1   0   1   0   0   0   0   0   0   0   0   0   0  0   0   0
Chris Garner     12   0   4   0   2   0   0   0   0   0   0   1   3  2   1   1
Kevin Garnett    49  14  28   2   3  12  17  35   9  18  22  10   7  4   4   7
Dean Garrett     33   7  12   0   0   2   3  15   4   9  12   4   2  4   1   4
Pat Garrity      33   8  11   2   7   4   4  20   4   5   7   3   3  5   2   1
Pau Gasol        40  10  18   0   1   9  15  27   5  11  16   5   5  4   1   2
Chris Gatling    30   8  11   0   3   8  10  24   8   7  12   3   4  4   1   1
Kenny Gattison   30   5  10   0   0   3   3  13   3   6   9   1   1  3   1   0
Chris Gattling   31   9  11   1   1  12  14  31   1   9  10   2   5  2   2   0
Andrew Gaze       3   1   2   0   2   0   0   2   0   0   0   0   0  1   0   0
Reggie Geary     12   3   5   0   1   0   1   6   0   2   2   2   2  1   2   0
Matt Geiger      41   9  16   0   0   2   5  20   6  15  17   2   3  5   1   2
Devean George    36   7  15   2   4   9  10  24   2   7   7   3   3  6   2   2
Eddie Gill       27   4   6   0   1   6   7   8   1   1   1   4   2  4   2   0
Kendall Gill     41  10  17   4   6   5   5  26   5   6   7   5   6  6   5   1
Armon Gilliam    44  11  19   0   0   9   9  27   5  11  13   8   2  3   2   2
E. Ginobili      37   7  16   3   6   5   6  17   3   5   7   7   4  6   3   1
Gordan Giricek   42  10  14   4   7   5   8  29   3   6   8   5   6  3   3   1
