

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  PTS  AVG  REB  AVG  AST  AVG
Larazo Borrell   1   15 15.0    6  6.0    0  0.0
Chris Bosh       2   20 10.0   17  8.5    3  1.5
R. Boumtje_Boumtje 1    0  0.0    1  1.0    0  0.0
Cal Bowdler      4    8  2.0    6  1.5    1  0.2
Bruce Bowen     18  112  6.2   44  2.4   28  1.6
Ryan Bowen      10   30  3.0   22  2.2    5  0.5
Anthony Bowie    2    9  4.5    1  0.5    1  0.5
Ira Bowman       2    4  2.0    0  0.0    0  0.0
Donnie Boyce     1    3  3.0    1  1.0    0  0.0
Earl Boykins    10   78  7.8    9  0.9   34  3.4
Michael Bradley  3   12  4.0   16  5.3    2  0.7
Shawn Bradley    4   52 13.0   35  8.8    5  1.2
Mark Bradtke     1    5  5.0    1  1.0    0  0.0
Marques Bragg    1    2  2.0    3  3.0    0  0.0
Torraye Braggs   1    2  2.0    2  2.0    0  0.0
Elton Brand     14  223 15.9  139  9.9   39  2.8
Terrell Brandon 15  202 13.5   54  3.6   94  6.3
Tim Breaux       3   10  3.3    4  1.3    2  0.7
J.R. Bremer      2    0  0.0    1  0.5    2  1.0
Primoz Brezec    1    3  3.0    0  0.0    0  0.0
F. Brickowski    3   12  4.0    8  2.7    0  0.0
Scott Brooks     3    3  1.0    4  1.3    4  1.3
Chucky Brown    10  119 11.9   49  4.9    8  0.8
Damone Brown     1    0  0.0    0  0.0    0  0.0
Dee Brown        3   59 19.7    7  2.3    5  1.7
Devin Brown      4   21  5.2   13  3.2    2  0.5
Gerald Brown     2    0  0.0    1  0.5    2  1.0
Kedrick Brown    3    6  2.0   11  3.7    1  0.3
Kwame Brown      6   32  5.3   26  4.3    8  1.3
P.J. Brown      18  218 12.1  135  7.5   23  1.3
Randy Brown     10   42  4.2   17  1.7   22  2.2
Tierre Brown     3    2  0.7    0  0.0    0  0.0
Rick Brunson     5   17  3.4    4  0.8    9  1.8
Kobe Bryant     25  483 19.3  160  6.4  111  4.4
Mark Bryant     12  101  8.4   69  5.8   13  1.1
Greg Buckner     4   24  6.0   10  2.5    3  0.8
Jud Buechler    12   32  2.7   29  2.4    8  0.7
Rodney Buford    7   42  6.0   18  2.6    6  0.9
Matt Bullard    18   76  4.2   34  1.9   15  0.8
Pat Burke        1    6  6.0    0  0.0    0  0.0
Scott Burrell    6   25  4.2   30  5.0    3  0.5
Junior Burrough  1    1  1.0    1  1.0    0  0.0
Willie Burton    1   17 17.0    2  2.0    0  0.0
Caron Butler     3   44 14.7   20  6.7   10  3.3
Mitchell Butler  6   11  1.8    7  1.2    3  0.5
Rasual Butler    3   30 10.0    8  2.7    5  1.7
Zarko Cabarkapa  4   36  9.0   18  4.5    5  1.2
Jason Caffey    15  111  7.4   63  4.2   14  0.9
Michael Cage     6   25  4.2   32  5.3    1  0.2
Adrian Caldwell  3    6  2.0    7  2.3    0  0.0
Marcus Camby    13  147 11.3  157 12.1   24  1.8
Elden Campbell  22  297 13.5  160  7.3   40  1.8
Brian Cardinal   5   50 10.0   19  3.8    4  0.8
Antoine Carr    14   68  4.9   34  2.4    9  0.6
Chris Carr      10   70  7.0   22  2.2   10  1.0
Cory Carr        1   18 18.0    2  2.0    4  4.0
Matt Carroll     1    7  7.0    2  2.0    0  0.0
Anthony Carter   8   28  3.5   18  2.2   47  5.9
Vince Carter     8  180 22.5   38  4.8   45  5.6
Sam Cassell     16  327 20.4   62  3.9  119  7.4
Kelvin Cato     21  134  6.4  111  5.3    9  0.4
Duane Causwell   8   25  3.1   24  3.0    1  0.1
Cedric Ceballos 11  188 17.1   65  5.9   16  1.5
John Celestand   1    8  8.0    0  0.0    3  3.0
Tyson Chandler   5   34  6.8   27  5.4    7  1.4
Rex Chapman     12  142 11.8   32  2.7   38  3.2
Calbert Cheaney 17  194 11.4   67  3.9   30  1.8
Pete Chilcutt   17   55  3.2   55  3.2   10  0.6
R. Childress     2    0  0.0    4  2.0    1  0.5
Chris Childs    11   69  6.3   26  2.4   42  3.8
Doug Christie   24  286 11.9  108  4.5  119  5.0
Keon Clark      15  143  9.5   96  6.4   16  1.1
Speedy Claxton   8   59  7.4   14  1.8   34  4.2
Mateen Cleaves   5   21  4.2    5  1.0   14  2.8
Keith Closs      8   35  4.4   26  3.2    3  0.4
Derrick Coleman 11  168 15.3  113 10.3   26  2.4
Bimbo Coles     17  131  7.7   50  2.9   70  4.1
Jason Collier    4   13  3.2   11  2.8    1  0.2
James Collins    1    0  0.0    2  2.0    0  0.0
Jarron Collins   8   32  4.0   33  4.1    6  0.8
Jason Collins    6   26  4.3   26  4.3    6  1.0
Marty Conlon     6   22  3.7   15  2.5    3  0.5
Brian Cook       1    4  4.0    4  4.0    0  0.0
Tyrone Corbin   10   54  5.4   32  3.2   23  2.3
Joe Courtney     1    0  0.0    1  1.0    0  0.0
Chris Crawford   5   17  3.4   11  2.2    3  0.6
Jamal Crawford   5   47  9.4   13  2.6   25  5.0
Joe Crispin      2    3  1.5    1  0.5    0  0.0
Austin Croshere  9  102 11.3   52  5.8    4  0.4
